,Country Code,Country,HDI,Total Cases,Total Deaths,Stringency Index,Population
168,SLE,Sierra Leone,0.287884354,268396,10036,2.565166743,15.89207108
185,SYR,Syria,0.384680272,267902,12098,2.829461848,16.67774898
108,LVA,Latvia,0.674142857,255964,5376,3.025463161,14.45007584
138,NZL,New Zealand,0.917,253203,4145,3.233197104,15.38874766
122,MLT,Malta,0.767503401,251261,2409,0,12.99802163
20,BEN,Benin,0.380119048,245893,4374,2.71885225,16.31063137
202,URY,Uruguay,0.598897959,239884,6083,2.777736691,15.06073864
13,BHS,Bahamas,0.592897959,237908,5998,0,12.88219574
50,CYP,Cyprus,0.656183673,236673,3735,3.110623018,13.68300607
31,BFA,Burkina Faso,0.317969388,231452,10248,2.884473892,16.85541655
71,GMB,Gambia,0.337959184,229521,7201,3.105407319,14.69789863
207,YEM,Yemen,0.296721088,228925,64304,2.369567903,17.21088998
192,TTO,Trinidad and Tobago,0.589333333,225550,4519,3.017429512,14.15161916
3,AND,Andorra,0.65955102,223576,9850,2.67765397,11.25499635
9,ABW,Aruba,0,215110,1624,2.768907607,11.5783948
26,BWA,Botswana,0.492632653,205758,895,2.832567735,14.67061714
140,NER,Niger,0.256469388,199978,11676,2.251759885,17.00213737
191,TGO,Togo,0.393503401,169903,4197,2.937411437,15.92920098
84,GUY,Guyana,0.487163265,166917,5783,3.1394486,13.57542301
79,GUM,Guam,0,160975,2715,2.818034734,12.03636915
111,LBR,Liberia,0.321071429,159880,10087,3.148329588,15.43641784
39,TCD,Chad,0.294068027,154173,12212,2.983968134,16.61436742
162,SMR,San Marino,0,134994,8596,3.080051874,10.43229061
206,VNM,Vietnam,0.694,122618,2318,3.71086843,18.39370601
163,STP,Sao Tome and Principe,0.388659864,121909,2198,0,12.2975619
110,LSO,Lesotho,0.279455782,107948,2680,2.223324855,14.57736817
19,BLZ,Belize,0.505714286,106383,1613,2.895969934,12.89325457
201,VIR,United States Virgin Islands,0,98536,1833,0,11.55620524
186,TWN,Taiwan,0,97074,1423,2.963287183,16.98590072
69,PYF,French Polynesia,0,95388,260,0,12.54576825
188,TZA,Tanzania,0.397095238,91526,3733,2.402485587,17.9054155
124,MUS,Mauritius,0.575034014,69524,1988,2.507072868,14.05591783
100,JEY,Jersey,0,66777,5527,0,11.52359831
95,IMN,Isle of Man,0,64935,4310,0,11.35078294
64,FRO,Faeroe Islands,0,56893,0,0,10.79681667
43,COM,Comoros,0.292561224,52437,920,0,13.67578287
81,GGY,Guernsey,0,49814,2450,0,11.11322372
32,BDI,Burundi,0.286510204,49745,188,1.68971213,16.29127395
170,SXM,Sint Maarten (Dutch part),0,48026,3146,0,10.66620744
75,GIB,Gibraltar,0,45340,0,2.278648977,10.42498602
195,TCA,Turks and Caicos Islands,0,44432,476,2.297105249,10.56405989
128,MNG,Mongolia,0.554489796,42465,0,3.070019561,15.00283311
61,ERI,Eritrea,0.317278912,40026,0,3.250168251,15.08145118
33,KHM,Cambodia,0.582,39539,0,2.875571929,16.63205462
148,PNG,Papua New Guinea,0.394122449,35966,417,2.675517615,16.00683186
37,CYM,Cayman Islands,0,33173,213,1.538916777,11.09315857
29,BRN,Brunei,0.647003401,30140,475,2.866448989,12.98879313
21,BMU,Bermuda,0,28876,1631,2.846286835,11.03928322
16,BRB,Barbados,0.587755102,24998,1321,2.947177648,12.56852934
22,BTN,Bhutan,0.464204082,22847,0,3.187371286,13.55623711
127,MCO,Monaco,0,21511,192,0,10.57755385
113,LIE,Liechtenstein,0.697904762,19885,198,0,10.54894022
49,CUW,Curacao,0,19777,207,0,12.00823128
167,SYC,Seychelles,0.593683673,14701,0,2.548670487,11.49618614
6,ATG,Antigua and Barbuda,0.567755102,12619,568,0,11.49198779
161,VCT,Saint Vincent and the Grenadines,0.531183673,7824,0,0,11.61680789
142,MNP,Northern Mariana Islands,0,7784,396,0,10.96053104
24,BES,Bonaire Sint Eustatius and Saba,0,5080,48,0,10.1743159
66,FJI,Fiji,0.665387755,4742,132,3.427270103,13.7061911
190,TLS,Timor,0.450680272,4697,0,2.576761882,14.09196129
28,VGB,British Virgin Islands,0,4605,183,2.240659254,10.31682162
137,NCL,New Caledonia,0,4495,0,0,12.56196578
78,GRD,Grenada,0.554054422,4470,0,0,11.63087738
160,LCA,Saint Lucia,0.556438776,4450,0,0,12.1206727
107,LAO,Laos,0.427241497,4039,0,2.516711986,15.80003079
55,DMA,Dominica,0.513146259,3977,0,2.681966649,11.18429639
159,KNA,Saint Kitts and Nevis,0.550421769,3246,0,0,10.88166329
77,GRL,Greenland,0,2678,0,2.588435365,10.94679853
65,FLK,Falkland Islands,0,2467,0,2.122957553,8.15564927
204,VAT,Vatican,0,2415,0,0,6.695798917
130,MSR,Montserrat,0,2383,177,2.477076522,8.516993171
5,AIA,Anguilla,0,614,0,2.326180673,9.615938805
173,SLB,Solomon Islands,0.007428571,11,0,0,13.43991197
87,HKG,Hong Kong,0.161846939,0,0,0.643980343,15.8300119
